Args got
indir None
outdir /home/ec2-user/ThermoDrift/experiments/trainv5/
Data loaded
ESM1b loaded
Classifier, optimizer, and criterion compiled
Using device cuda:0
Moved tensors to cuda:0
Dataloaders built
Number of parameters classifier:  172419
outputs [[0.3266284763813019, 0.3335251212120056, 0.3398464024066925]]  lables [2]
outputs [[0.32682713866233826, 0.3329797685146332, 0.34019309282302856]]  lables [0]
outputs [[0.33186811208724976, 0.3221297860145569, 0.34600213170051575]]  lables [2]
outputs [[0.3263980746269226, 0.3311910331249237, 0.3424109220504761]]  lables [0]
outputs [[0.3397662341594696, 0.32831624150276184, 0.33191755414009094]]  lables [2]
outputs [[0.3279152512550354, 0.3245808482170105, 0.3475039601325989]]  lables [0]
outputs [[0.33377233147621155, 0.3252215087413788, 0.34100618958473206]]  lables [0]
outputs [[0.33891987800598145, 0.3339940309524536, 0.32708609104156494]]  lables [2]
outputs [[0.3327852487564087, 0.3250560164451599, 0.342158704996109]]  lables [1]
outputs [[0.3362301290035248, 0.3151564300060272, 0.3486134111881256]]  lables [0]
outputs [[0.33135420083999634, 0.32206323742866516, 0.3465826213359833]]  lables [1]
outputs [[0.33116114139556885, 0.3349246382713318, 0.33391422033309937]]  lables [2]
outputs [[0.33687886595726013, 0.32769665122032166, 0.3354244828224182]]  lables [2]
outputs [[0.32582545280456543, 0.3261561095714569, 0.3480184078216553]]  lables [0]
outputs [[0.3403775095939636, 0.32067248225212097, 0.3389500677585602]]  lables [2]
outputs [[0.3387116491794586, 0.33557167649269104, 0.32571670413017273]]  lables [1]
outputs [[0.3254702389240265, 0.32079431414604187, 0.35373541712760925]]  lables [0]
outputs [[0.33000582456588745, 0.3311193585395813, 0.338874876499176]]  lables [1]
outputs [[0.32974278926849365, 0.33046016097068787, 0.33979707956314087]]  lables [2]
outputs [[0.3386112451553345, 0.3298358619213104, 0.3315528631210327]]  lables [0]
outputs [[0.3351098299026489, 0.32825523614883423, 0.33663493394851685]]  lables [2]
outputs [[0.33341556787490845, 0.3246343433856964, 0.34195011854171753]]  lables [2]
outputs [[0.3342067301273346, 0.31975477933883667, 0.34603849053382874]]  lables [2]
outputs [[0.33598417043685913, 0.31847918033599854, 0.3455366790294647]]  lables [1]
outputs [[0.3323538303375244, 0.3296528458595276, 0.3379932940006256]]  lables [1]
outputs [[0.32713785767555237, 0.3287014067173004, 0.3441607654094696]]  lables [0]
outputs [[0.33956438302993774, 0.3261657655239105, 0.3342699110507965]]  lables [2]
outputs [[0.33292049169540405, 0.3111947178840637, 0.35588476061820984]]  lables [1]
outputs [[0.3342767059803009, 0.32953253388404846, 0.33619073033332825]]  lables [2]
outputs [[0.3323497772216797, 0.3197001516819, 0.3479500710964203]]  lables [2]
outputs [[0.33496934175491333, 0.31992673873901367, 0.3451038599014282]]  lables [2]
outputs [[0.3354828953742981, 0.3214274048805237, 0.3430897295475006]]  lables [1]
outputs [[0.33285489678382874, 0.3242563307285309, 0.3428887128829956]]  lables [1]
outputs [[0.3337637782096863, 0.3263136148452759, 0.33992263674736023]]  lables [0]
outputs [[0.3304371237754822, 0.3252590298652649, 0.34430384635925293]]  lables [0]
outputs [[0.3387422263622284, 0.32208409905433655, 0.33917364478111267]]  lables [1]
outputs [[0.33038607239723206, 0.33218204975128174, 0.3374318778514862]]  lables [0]
outputs [[0.33363065123558044, 0.32711532711982727, 0.3392539918422699]]  lables [0]
outputs [[0.3311752676963806, 0.3313724100589752, 0.33745235204696655]]  lables [2]
outputs [[0.3312344253063202, 0.32361873984336853, 0.3451468348503113]]  lables [1]
outputs [[0.32834574580192566, 0.3348415493965149, 0.33681267499923706]]  lables [2]
outputs [[0.33204954862594604, 0.33174869418144226, 0.3362017571926117]]  lables [1]
outputs [[0.33630290627479553, 0.3226449191570282, 0.34105223417282104]]  lables [1]
outputs [[0.3333016037940979, 0.3304843604564667, 0.3362140655517578]]  lables [2]
outputs [[0.33121171593666077, 0.33075955510139465, 0.33802875876426697]]  lables [1]
outputs [[0.3326127231121063, 0.32494935393333435, 0.3424379229545593]]  lables [2]
outputs [[0.3390178382396698, 0.3149273097515106, 0.3460548222064972]]  lables [2]
outputs [[0.34097328782081604, 0.3352086842060089, 0.32381799817085266]]  lables [0]
outputs [[0.32998979091644287, 0.3273676931858063, 0.34264251589775085]]  lables [1]
outputs [[0.33134761452674866, 0.3229855000972748, 0.34566694498062134]]  lables [2]
outputs [[0.3295016884803772, 0.32657548785209656, 0.34392282366752625]]  lables [1]
outputs [[0.33322158455848694, 0.31772756576538086, 0.3490508496761322]]  lables [2]
outputs [[0.3314187526702881, 0.32412171363830566, 0.34445953369140625]]  lables [1]
outputs [[0.32641899585723877, 0.3281364142894745, 0.3454446494579315]]  lables [1]
outputs [[0.3377280831336975, 0.324873149394989, 0.33739879727363586]]  lables [0]
outputs [[0.32637372612953186, 0.31863537430763245, 0.3549908399581909]]  lables [1]
outputs [[0.3342420756816864, 0.3225843012332916, 0.34317365288734436]]  lables [1]
outputs [[0.3303641378879547, 0.31962794065475464, 0.35000789165496826]]  lables [1]
outputs [[0.33823391795158386, 0.31141960620880127, 0.35034647583961487]]  lables [0]
outputs [[0.33512502908706665, 0.3200331926345825, 0.34484177827835083]]  lables [1]
outputs [[0.3273053467273712, 0.3308250308036804, 0.34186962246894836]]  lables [2]
outputs [[0.3349274694919586, 0.311453640460968, 0.35361891984939575]]  lables [2]
outputs [[0.3293056786060333, 0.3425374925136566, 0.32815679907798767]]  lables [1]
outputs [[0.3340837061405182, 0.3148488700389862, 0.351067453622818]]  lables [2]
outputs [[0.3310934007167816, 0.3273082375526428, 0.3415983021259308]]  lables [2]
outputs [[0.3353988528251648, 0.3238022029399872, 0.3407989740371704]]  lables [0]
outputs [[0.3326054513454437, 0.32918381690979004, 0.3382107615470886]]  lables [0]
outputs [[0.32950109243392944, 0.33147934079170227, 0.3390195071697235]]  lables [1]
outputs [[0.33836230635643005, 0.32379165291786194, 0.33784598112106323]]  lables [2]
outputs [[0.3381447494029999, 0.33779698610305786, 0.32405826449394226]]  lables [2]
outputs [[0.3317485749721527, 0.33508405089378357, 0.3331673741340637]]  lables [0]
outputs [[0.33584895730018616, 0.3275379240512848, 0.33661308884620667]]  lables [0]
outputs [[0.3254411220550537, 0.3380099833011627, 0.33654889464378357]]  lables [0]
outputs [[0.33066457509994507, 0.3298054039478302, 0.33952996134757996]]  lables [1]
outputs [[0.33355507254600525, 0.33349373936653137, 0.3329511284828186]]  lables [2]
outputs [[0.331011563539505, 0.3264966309070587, 0.3424917459487915]]  lables [1]
outputs [[0.3358626961708069, 0.32889240980148315, 0.3352448642253876]]  lables [0]
outputs [[0.33446982502937317, 0.32016029953956604, 0.3453698456287384]]  lables [0]
outputs [[0.32323378324508667, 0.3265100121498108, 0.35025620460510254]]  lables [0]
outputs [[0.32364556193351746, 0.32494696974754333, 0.3514074981212616]]  lables [0]
outputs [[0.33708813786506653, 0.3201332986354828, 0.3427785634994507]]  lables [1]
outputs [[0.3308482766151428, 0.31721752882003784, 0.35193413496017456]]  lables [1]
outputs [[0.3379907011985779, 0.33047741651535034, 0.33153191208839417]]  lables [0]
outputs [[0.3298138678073883, 0.33238744735717773, 0.33779871463775635]]  lables [2]
outputs [[0.3388333320617676, 0.3353019654750824, 0.32586464285850525]]  lables [2]
outputs [[0.3354778587818146, 0.323052316904068, 0.34146979451179504]]  lables [1]
outputs [[0.3297973871231079, 0.30462831258773804, 0.36557435989379883]]  lables [0]
outputs [[0.32773464918136597, 0.3316005766391754, 0.34066474437713623]]  lables [1]
outputs [[0.33208006620407104, 0.3295189440250397, 0.33840101957321167]]  lables [1]
outputs [[0.33840540051460266, 0.32033872604370117, 0.34125587344169617]]  lables [0]
outputs [[0.33324533700942993, 0.32231104373931885, 0.34444358944892883]]  lables [1]
outputs [[0.32942983508110046, 0.3320516347885132, 0.33851853013038635]]  lables [1]
outputs [[0.33076462149620056, 0.31476834416389465, 0.3544670045375824]]  lables [2]
outputs [[0.33128687739372253, 0.32082483172416687, 0.347888320684433]]  lables [2]
outputs [[0.3412337899208069, 0.33254122734069824, 0.3262249827384949]]  lables [2]
outputs [[0.33362433314323425, 0.3224274516105652, 0.34394821524620056]]  lables [1]
outputs [[0.33908265829086304, 0.33225128054618835, 0.3286660611629486]]  lables [2]
outputs [[0.3321717381477356, 0.320377916097641, 0.3474503457546234]]  lables [2]
outputs [[0.3259725272655487, 0.3211699426174164, 0.3528575003147125]]  lables [1]
outputs [[0.3343394696712494, 0.326393187046051, 0.3392673432826996]]  lables [1]
outputs [[0.33514130115509033, 0.3283121883869171, 0.33654648065567017]]  lables [1]
outputs [[0.3406011760234833, 0.3114439845085144, 0.3479548692703247]]  lables [0]
outputs [[0.33406123518943787, 0.332979291677475, 0.33295947313308716]]  lables [1]
outputs [[0.3376305401325226, 0.31185826659202576, 0.3505111634731293]]  lables [1]
outputs [[0.33051636815071106, 0.32169660925865173, 0.3477869927883148]]  lables [2]
outputs [[0.3372310698032379, 0.3224709928035736, 0.3402979373931885]]  lables [1]
outputs [[0.33224719762802124, 0.32460668683052063, 0.34314611554145813]]  lables [1]
outputs [[0.3407040238380432, 0.3353443443775177, 0.3239516019821167]]  lables [1]
outputs [[0.33151933550834656, 0.3188394010066986, 0.34964123368263245]]  lables [2]
outputs [[0.3311728239059448, 0.3328414857387543, 0.33598563075065613]]  lables [2]
outputs [[0.3241446018218994, 0.33248189091682434, 0.34337350726127625]]  lables [2]
outputs [[0.32566025853157043, 0.32840609550476074, 0.3459336757659912]]  lables [1]
outputs [[0.3301389217376709, 0.3301716446876526, 0.3396894335746765]]  lables [0]
outputs [[0.32772496342658997, 0.3335285782814026, 0.33874642848968506]]  lables [1]
outputs [[0.33469510078430176, 0.31486421823501587, 0.35044065117836]]  lables [2]
outputs [[0.32946109771728516, 0.31946253776550293, 0.3510763645172119]]  lables [0]
outputs [[0.3362956643104553, 0.3359505832195282, 0.32775378227233887]]  lables [0]
outputs [[0.33160820603370667, 0.33036965131759644, 0.3380221128463745]]  lables [1]
outputs [[0.33517593145370483, 0.3145870864391327, 0.3502369523048401]]  lables [0]
outputs [[0.33565935492515564, 0.3226466178894043, 0.3416939973831177]]  lables [0]
outputs [[0.32937830686569214, 0.33042779564857483, 0.34019386768341064]]  lables [2]
outputs [[0.32933852076530457, 0.32790908217430115, 0.3427523970603943]]  lables [1]
outputs [[0.3274182677268982, 0.3245003819465637, 0.3480813503265381]]  lables [2]
outputs [[0.3251928687095642, 0.32868167757987976, 0.34612542390823364]]  lables [1]
outputs [[0.32933810353279114, 0.32865726947784424, 0.3420046269893646]]  lables [0]
outputs [[0.3359609544277191, 0.33001425862312317, 0.3340248167514801]]  lables [2]
outputs [[0.3273262083530426, 0.3341551125049591, 0.3385186791419983]]  lables [2]
outputs [[0.32603055238723755, 0.3291264772415161, 0.3448430001735687]]  lables [0]
outputs [[0.33151280879974365, 0.3198798894882202, 0.34860727190971375]]  lables [2]
outputs [[0.33277562260627747, 0.3206842541694641, 0.3465401232242584]]  lables [1]
outputs [[0.33799123764038086, 0.3230624794960022, 0.33894625306129456]]  lables [0]
outputs [[0.32875359058380127, 0.3423547148704529, 0.32889169454574585]]  lables [2]
outputs [[0.3371129035949707, 0.3333394229412079, 0.3295477032661438]]  lables [0]
outputs [[0.3331379294395447, 0.3241094946861267, 0.3427525460720062]]  lables [1]
outputs [[0.32866179943084717, 0.3271743655204773, 0.34416383504867554]]  lables [1]
outputs [[0.3291975259780884, 0.33306413888931274, 0.3377383351325989]]  lables [0]
outputs [[0.3418026864528656, 0.3264968991279602, 0.3317004442214966]]  lables [1]
outputs [[0.3305217921733856, 0.32543256878852844, 0.34404563903808594]]  lables [2]
outputs [[0.33895549178123474, 0.31803634762763977, 0.3430081605911255]]  lables [0]
outputs [[0.332826167345047, 0.3222000002861023, 0.3449738323688507]]  lables [2]
outputs [[0.33246782422065735, 0.3258439600467682, 0.34168821573257446]]  lables [0]
outputs [[0.331050306558609, 0.32591697573661804, 0.34303274750709534]]  lables [2]
outputs [[0.33475738763809204, 0.32476806640625, 0.34047454595565796]]  lables [2]
outputs [[0.3311856687068939, 0.32386958599090576, 0.34494471549987793]]  lables [1]
outputs [[0.3232761025428772, 0.33666887879371643, 0.34005501866340637]]  lables [0]
outputs [[0.33560922741889954, 0.34260857105255127, 0.3217821419239044]]  lables [1]
outputs [[0.33726686239242554, 0.3260009288787842, 0.33673223853111267]]  lables [2]
outputs [[0.33150723576545715, 0.326188862323761, 0.34230393171310425]]  lables [1]
outputs [[0.32675591111183167, 0.3340595066547394, 0.33918455243110657]]  lables [1]
outputs [[0.33711665868759155, 0.32544827461242676, 0.3374350965023041]]  lables [2]
outputs [[0.32888397574424744, 0.32599061727523804, 0.34512537717819214]]  lables [0]
outputs [[0.32321903109550476, 0.3423440754413605, 0.33443692326545715]]  lables [0]
outputs [[0.3331090807914734, 0.32188794016838074, 0.34500300884246826]]  lables [0]
outputs [[0.3305347263813019, 0.3332565426826477, 0.33620867133140564]]  lables [0]
outputs [[0.33088698983192444, 0.3303515613079071, 0.33876141905784607]]  lables [0]
outputs [[0.33118361234664917, 0.31193527579307556, 0.3568810820579529]]  lables [1]
outputs [[0.3291061520576477, 0.32623836398124695, 0.34465551376342773]]  lables [1]
outputs [[0.3343999981880188, 0.32650095224380493, 0.3390990197658539]]  lables [0]
outputs [[0.32858806848526, 0.3320089280605316, 0.339402973651886]]  lables [2]
outputs [[0.3329731523990631, 0.3250560164451599, 0.341970831155777]]  lables [1]
outputs [[0.3302394449710846, 0.3208630383014679, 0.3488975465297699]]  lables [1]
outputs [[0.33265814185142517, 0.33691757917404175, 0.3304242491722107]]  lables [2]
outputs [[0.3342131972312927, 0.32584455609321594, 0.3399422764778137]]  lables [1]
outputs [[0.34004315733909607, 0.32409989833831787, 0.33585697412490845]]  lables [0]
outputs [[0.33535248041152954, 0.3271329402923584, 0.33751460909843445]]  lables [0]
outputs [[0.3299696445465088, 0.32778412103652954, 0.34224623441696167]]  lables [0]
outputs [[0.33459144830703735, 0.3328161835670471, 0.3325923681259155]]  lables [1]
outputs [[0.32816237211227417, 0.32978367805480957, 0.34205394983291626]]  lables [2]
outputs [[0.3322087228298187, 0.3246048390865326, 0.3431864082813263]]  lables [2]
outputs [[0.3326420187950134, 0.3327282965183258, 0.33462971448898315]]  lables [0]
outputs [[0.3374614417552948, 0.3243248760700226, 0.3382137417793274]]  lables [1]
outputs [[0.3317123055458069, 0.3211209774017334, 0.3471667170524597]]  lables [1]
outputs [[0.3308345675468445, 0.3314951956272125, 0.337670236825943]]  lables [1]
outputs [[0.3266691565513611, 0.3382326066493988, 0.3350982666015625]]  lables [0]
outputs [[0.333478182554245, 0.3241615295410156, 0.342360258102417]]  lables [2]
outputs [[0.32981640100479126, 0.31864577531814575, 0.3515377640724182]]  lables [2]
outputs [[0.32547539472579956, 0.33750563859939575, 0.3370189368724823]]  lables [2]
outputs [[0.33974456787109375, 0.330718457698822, 0.32953697443008423]]  lables [0]
outputs [[0.33519142866134644, 0.32407695055007935, 0.3407316207885742]]  lables [0]
outputs [[0.3419298231601715, 0.3255781829357147, 0.332491934299469]]  lables [2]
outputs [[0.33280667662620544, 0.3250114917755127, 0.34218183159828186]]  lables [2]
outputs [[0.33465418219566345, 0.31984320282936096, 0.3455025553703308]]  lables [0]
outputs [[0.3330481946468353, 0.32541728019714355, 0.3415345549583435]]  lables [1]
outputs [[0.3331051170825958, 0.32215747237205505, 0.3447374403476715]]  lables [2]
outputs [[0.331632137298584, 0.3268173933029175, 0.34155043959617615]]  lables [2]
outputs [[0.34072843194007874, 0.3279884457588196, 0.3312831223011017]]  lables [2]
outputs [[0.3300527334213257, 0.32863348722457886, 0.34131377935409546]]  lables [2]
outputs [[0.3313084542751312, 0.325790137052536, 0.34290146827697754]]  lables [0]
outputs [[0.3327925205230713, 0.3195739984512329, 0.3476334512233734]]  lables [1]
outputs [[0.33476364612579346, 0.3329351544380188, 0.33230113983154297]]  lables [2]
outputs [[0.3328981399536133, 0.3321760892868042, 0.3349258005619049]]  lables [0]
outputs [[0.3262743651866913, 0.3265821039676666, 0.3471435308456421]]  lables [1]
outputs [[0.33682188391685486, 0.32300952076911926, 0.34016862511634827]]  lables [0]
outputs [[0.33643031120300293, 0.32531091570854187, 0.3382588028907776]]  lables [0]
outputs [[0.3389672338962555, 0.3370978534221649, 0.3239349126815796]]  lables [0]
outputs [[0.3349381387233734, 0.31284233927726746, 0.35221949219703674]]  lables [2]
outputs [[0.3353949189186096, 0.32235684990882874, 0.34224826097488403]]  lables [1]
outputs [[0.336752325296402, 0.34627965092658997, 0.31696802377700806]]  lables [1]
outputs [[0.34094345569610596, 0.33138370513916016, 0.3276727795600891]]  lables [0]
outputs [[0.3281784951686859, 0.31755074858665466, 0.35427072644233704]]  lables [0]
outputs [[0.3261597454547882, 0.3273559510707855, 0.34648433327674866]]  lables [0]
outputs [[0.3348980247974396, 0.3229934573173523, 0.34210848808288574]]  lables [1]
outputs [[0.3335028290748596, 0.33174648880958557, 0.3347506523132324]]  lables [0]
outputs [[0.3320607542991638, 0.3288947343826294, 0.33904457092285156]]  lables [2]
outputs [[0.3284434378147125, 0.33221814036369324, 0.3393385112285614]]  lables [1]
outputs [[0.32942867279052734, 0.3322150707244873, 0.3383561968803406]]  lables [1]
outputs [[0.33047908544540405, 0.3282582759857178, 0.34126266837120056]]  lables [1]
outputs [[0.3341183066368103, 0.327617347240448, 0.3382642865180969]]  lables [1]
outputs [[0.3286779522895813, 0.3280707001686096, 0.34325137734413147]]  lables [1]
outputs [[0.3330717086791992, 0.33554577827453613, 0.33138254284858704]]  lables [0]
outputs [[0.33878690004348755, 0.3317265808582306, 0.32948651909828186]]  lables [0]
outputs [[0.33908024430274963, 0.335431843996048, 0.3254878520965576]]  lables [1]
outputs [[0.3381979167461395, 0.3304344713687897, 0.3313675820827484]]  lables [0]
outputs [[0.33713942766189575, 0.3323122560977936, 0.3305482864379883]]  lables [2]
outputs [[0.33574315905570984, 0.30999401211738586, 0.3542628884315491]]  lables [1]
outputs [[0.33352139592170715, 0.3356229364871979, 0.33085566759109497]]  lables [2]
outputs [[0.3267894387245178, 0.3225859999656677, 0.3506245017051697]]  lables [1]
outputs [[0.32913804054260254, 0.31647035479545593, 0.3543916344642639]]  lables [1]
outputs [[0.33059704303741455, 0.32928481698036194, 0.3401181399822235]]  lables [0]
outputs [[0.3313097655773163, 0.32457783818244934, 0.34411242604255676]]  lables [1]
outputs [[0.33322063088417053, 0.32842662930488586, 0.338352769613266]]  lables [2]
outputs [[0.34013187885284424, 0.32986533641815186, 0.3300028145313263]]  lables [2]
outputs [[0.3347504138946533, 0.32835853099823, 0.3368910551071167]]  lables [2]
outputs [[0.33259114623069763, 0.3299654722213745, 0.33744335174560547]]  lables [1]
outputs [[0.33451417088508606, 0.31673142313957214, 0.3487544357776642]]  lables [0]
outputs [[0.32950469851493835, 0.33307841420173645, 0.3374169170856476]]  lables [2]
outputs [[0.3277028203010559, 0.3217014670372009, 0.35059577226638794]]  lables [1]
outputs [[0.3321211636066437, 0.3164183497428894, 0.3514605462551117]]  lables [1]
outputs [[0.3337939977645874, 0.3433040678501129, 0.32290196418762207]]  lables [2]
Train - epoch: 0 batch: 1 loss: 1.109078288078308
outputs [[0.33538565039634705, 0.32340767979621887, 0.34120669960975647]]  lables [1]
outputs [[0.33289670944213867, 0.3271349370479584, 0.33996835350990295]]  lables [1]
outputs [[0.33194297552108765, 0.3190186023712158, 0.34903842210769653]]  lables [2]
outputs [[0.3355737626552582, 0.3324050307273865, 0.33202117681503296]]  lables [0]
outputs [[0.33731570839881897, 0.3402959406375885, 0.3223883807659149]]  lables [0]
outputs [[0.3320026993751526, 0.3291228115558624, 0.3388745188713074]]  lables [1]
outputs [[0.324055016040802, 0.3377963900566101, 0.33814865350723267]]  lables [2]
outputs [[0.33648139238357544, 0.3351447582244873, 0.32837387919425964]]  lables [1]
outputs [[0.33055299520492554, 0.3251316547393799, 0.3443153500556946]]  lables [0]
outputs [[0.33753272891044617, 0.3378361761569977, 0.32463112473487854]]  lables [1]
outputs [[0.33216387033462524, 0.3185727596282959, 0.34926337003707886]]  lables [1]
outputs [[0.3290172219276428, 0.3297380208969116, 0.34124478697776794]]  lables [0]
outputs [[0.32356563210487366, 0.3206840455532074, 0.35575035214424133]]  lables [2]
outputs [[0.33117905259132385, 0.3220607340335846, 0.34676021337509155]]  lables [1]
outputs [[0.33426836133003235, 0.3243744671344757, 0.34135717153549194]]  lables [0]
outputs [[0.32859376072883606, 0.32402855157852173, 0.3473776876926422]]  lables [1]
outputs [[0.3356971740722656, 0.33426764607429504, 0.33003515005111694]]  lables [0]
outputs [[0.3403869867324829, 0.3313417434692383, 0.3282712697982788]]  lables [0]
outputs [[0.33091744780540466, 0.3282747268676758, 0.34080782532691956]]  lables [1]
outputs [[0.3253616392612457, 0.3314668536186218, 0.34317147731781006]]  lables [1]
outputs [[0.3343888223171234, 0.3309382200241089, 0.3346729874610901]]  lables [2]
outputs [[0.33231422305107117, 0.3179920017719269, 0.34969377517700195]]  lables [1]
outputs [[0.33625859022140503, 0.31923460960388184, 0.3445068299770355]]  lables [1]
outputs [[0.33242031931877136, 0.32038965821266174, 0.3471900224685669]]  lables [1]
outputs [[0.3425697982311249, 0.3208085000514984, 0.33662164211273193]]  lables [1]
outputs [[0.341539591550827, 0.330427885055542, 0.328032523393631]]  lables [1]
outputs [[0.3326151967048645, 0.34087371826171875, 0.32651108503341675]]  lables [1]
outputs [[0.3343915343284607, 0.3213936686515808, 0.3442147672176361]]  lables [1]
outputs [[0.3357459604740143, 0.32210686802864075, 0.34214717149734497]]  lables [1]
outputs [[0.32988929748535156, 0.3207074999809265, 0.3494032025337219]]  lables [2]
outputs [[0.3343278765678406, 0.32443010807037354, 0.3412419557571411]]  lables [0]
outputs [[0.33118247985839844, 0.32623544335365295, 0.342582106590271]]  lables [0]
outputs [[0.33316582441329956, 0.3212287425994873, 0.3456054627895355]]  lables [1]
outputs [[0.3341590464115143, 0.3382924497127533, 0.3275485038757324]]  lables [1]
outputs [[0.329410582780838, 0.3268921375274658, 0.34369730949401855]]  lables [2]
outputs [[0.34022974967956543, 0.32697078585624695, 0.3327994644641876]]  lables [0]
outputs [[0.33103153109550476, 0.3317800760269165, 0.3371884226799011]]  lables [2]
outputs [[0.33214908838272095, 0.31862765550613403, 0.3492233157157898]]  lables [1]
outputs [[0.3328326940536499, 0.3228939473628998, 0.3442733585834503]]  lables [1]
outputs [[0.32690805196762085, 0.3196627199649811, 0.3534291982650757]]  lables [2]
outputs [[0.3238198757171631, 0.3250814378261566, 0.3510987162590027]]  lables [1]
outputs [[0.3339731693267822, 0.32588517665863037, 0.3401416540145874]]  lables [1]
outputs [[0.3352188467979431, 0.31649601459503174, 0.3482851982116699]]  lables [2]
outputs [[0.3342885375022888, 0.3277457356452942, 0.337965726852417]]  lables [2]
outputs [[0.32949939370155334, 0.32931211590766907, 0.3411884605884552]]  lables [0]
outputs [[0.3337692618370056, 0.3216589689254761, 0.3445717692375183]]  lables [0]
outputs [[0.33653008937835693, 0.3217131793498993, 0.3417567312717438]]  lables [1]
outputs [[0.3329179883003235, 0.3241208791732788, 0.3429611623287201]]  lables [1]
outputs [[0.33043378591537476, 0.31303420662879944, 0.3565320074558258]]  lables [1]
outputs [[0.3354729115962982, 0.3405672013759613, 0.3239598870277405]]  lables [0]
outputs [[0.33276811242103577, 0.3150689899921417, 0.3521629571914673]]  lables [2]
outputs [[0.3330085575580597, 0.3348052501678467, 0.332186222076416]]  lables [0]
outputs [[0.33527493476867676, 0.32978516817092896, 0.33493995666503906]]  lables [1]
outputs [[0.32713139057159424, 0.33021506667137146, 0.3426535725593567]]  lables [1]
outputs [[0.33447030186653137, 0.32317808270454407, 0.34235164523124695]]  lables [2]
outputs [[0.3402150869369507, 0.33371883630752563, 0.3260660469532013]]  lables [1]
outputs [[0.3291754424571991, 0.3265992999076843, 0.34422528743743896]]  lables [0]
outputs [[0.3282352387905121, 0.30681028962135315, 0.36495450139045715]]  lables [1]
outputs [[0.3293505907058716, 0.3231499493122101, 0.3474995195865631]]  lables [2]
outputs [[0.33157819509506226, 0.3083783984184265, 0.360043466091156]]  lables [2]
outputs [[0.3239147365093231, 0.3276936113834381, 0.34839165210723877]]  lables [1]
outputs [[0.32810404896736145, 0.3311404585838318, 0.34075552225112915]]  lables [0]
outputs [[0.34650498628616333, 0.3337644934654236, 0.3197305500507355]]  lables [0]
outputs [[0.3316679298877716, 0.3279750943183899, 0.3403569757938385]]  lables [0]
outputs [[0.33491250872612, 0.31873688101768494, 0.34635061025619507]]  lables [1]
outputs [[0.32699885964393616, 0.3130635917186737, 0.35993754863739014]]  lables [1]
outputs [[0.3378055989742279, 0.32051852345466614, 0.34167590737342834]]  lables [0]
outputs [[0.3226839005947113, 0.3339800536632538, 0.3433360159397125]]  lables [2]
outputs [[0.32745683193206787, 0.3365980386734009, 0.33594512939453125]]  lables [2]
outputs [[0.329234778881073, 0.34169721603393555, 0.32906803488731384]]  lables [0]
outputs [[0.33957022428512573, 0.33139997720718384, 0.32902979850769043]]  lables [0]
